anos_experiencia,Angular,BDD,Bootstrap,CICD,CSS,Cucumber,Django,Gestão de Custos,Gestão de Escopo,Gestão de Pessoas,Gestão de Qualidade,Gestão de Riscos,Gestão de Stakeholders,Gestão de Tempo,Gestão Ágil,HTML,JUnit,Java,JavaScript,Jira,Kanban,Lean,MS Project,MVP,Microservices,NoSQL,Node.js,OKRs,PMBOK,Postman,Python,RESTful APIs,React,Ruby on Rails,SAFE,SQL,Scrum,Scrum Master,Selenium,SoapUI,Spring Boot,TDD,TestNG,Testes Automatizados,Testes Funcionais,Testes de Carga,Testes de Performance,Testes de Regressão,Testes de Segurança,Testes de Usabilidade,Trello,TypeScript,User Stories,Vue.js,XP,categoria
28,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,6.0,7.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,10.0,5.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,8.0,2.0,0.0,8.0,0.0,0.0,7.0,5.0,1.0,2
4,0.0,0.0,9.0,1.0,9.0,4.0,0.0,0.0,3.0,7.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,9.0,8.0,0.0,5.0,0.0,10.0,9.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
13,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,0.0,0.0,10.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,1
12,0.0,7.0,0.0,0.0,7.0,10.0,5.0,4.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,9.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,4.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,2.0,0.0,1
17,3.0,6.0,10.0,1.0,9.0,6.0,10.0,8.0,10.0,1.0,8.0,3.0,8.0,9.0,2.0,6.0,10.0,2.0,3.0,9.0,8.0,10.0,0.0,2.0,4.0,10.0,4.0,5.0,7.0,4.0,8.0,3.0,5.0,10.0,7.0,1.0,8.0,0.0,2.0,10.0,1.0,2.0,7.0,5.0,8.0,8.0,9.0,3.0,3.0,5.0,0.0,1.0,10.0,5.0,6.0,2
30,5.0,2.0,10.0,0.0,3.0,4.0,3.0,5.0,3.0,9.0,4.0,1.0,3.0,2.0,0.0,8.0,3.0,6.0,0.0,6.0,6.0,3.0,1.0,7.0,7.0,4.0,6.0,2.0,7.0,0.0,4.0,2.0,4.0,1.0,0.0,6.0,2.0,4.0,2.0,8.0,9.0,7.0,0.0,4.0,1.0,10.0,4.0,2.0,4.0,9.0,4.0,2.0,9.0,5.0,8.0,2
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
16,10.0,7.0,0.0,0.0,9.0,0.0,5.0,7.0,0.0,0.0,10.0,3.0,0.0,6.0,7.0,1.0,0.0,3.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,10.0,10.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,3.0,9.0,9.0,10.0,6.0,8.0,0.0,7.0,0.0,5.0,6.0,2
